covariate,Coefficient,Hazard_Ratio (exp),Std_Error,p_value
seats,0.0019324843656393672,1.0019343528169415,0.005444131996478205,0.7226147039952373
is_trial,0.0992585776957056,1.1043518233919847,0.23620661957868896,0.6743252650282678
error_rate_per_100_events,-0.012469547371741416,0.9876078752914423,0.006699424320292437,0.06270374276353649
avg_first_response_min,-0.011588153662873088,0.9884787303862766,0.003670966355063109,0.0015956330710587576
avg_csat,0.24213152046010636,1.273961733831809,0.19327719497674958,0.21029008375554664
annual_billing_ratio,0.052721763668194956,1.0541363052935424,0.6249429271366967,0.9327682013008556
net_expansion_score,-0.07341466826468072,0.9292154339740385,0.08029964760443546,0.36058081623727145
